세그먼트ID,도로명,도로유형,중심위도,중심경도,난이도점수,난이도등급,사고율점수,도로형태점수,도로규모점수,교차로점수,교통량점수,설명
SEG_000624,이름없음,service,37.50227681428572,127.0829240142857,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000625,이름없음,service,37.50317816666666,127.0829697666667,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000626,이름없음,service,37.50304585,127.08256245,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000627,도곡로62길,residential,37.5044472,127.0778588666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000628,백제고분로12길,residential,37.50404626666667,127.0791331666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000629,도곡로64길,residential,37.50496535,127.0792148333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000630,백제고분로12길,residential,37.50461405,127.0798251,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000631,백제고분로12길,residential,37.5042828,127.0796801,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000632,백제고분로18길,residential,37.50390705,127.0835797,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000633,백제고분로18길,residential,37.50425875,127.08374285,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000634,백제고분로18길,residential,37.50460915,127.08390585,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000635,도곡로64길,residential,37.50498565555555,127.0798577333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000636,도곡로62길,residential,37.50446893333334,127.0784253333333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000637,이름없음,service,37.50393016,127.08541061,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000638,백제고분로12길,residential,37.50420206666666,127.0811783666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000639,도곡로62길,residential,37.5037752,127.0820875,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000640,백제고분로14길,residential,37.5048405,127.0830756,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000641,삼전로3길,residential,37.50235403333334,127.0847654666667,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000642,삼전로3길,residential,37.50222186666667,127.0843373666667,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000643,삼전로,residential,37.50344175,127.086544125,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000644,백제고분로20길,residential,37.50386335,127.08642615,33.5,보통,0.0,65,70,25,25,"주거지역 도로, 좁은 도로"
SEG_000645,백제고분로12길,residential,37.50522418888889,127.0796819222222,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000646,백제고분로12길,residential,37.505528775,127.08061895,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000647,백제고분로18길,residential,37.50330882727273,127.0842542090909,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000648,백제고분로18길,residential,37.50514215,127.08507875,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000649,삼전로4길,residential,37.501898625,127.087926725,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000650,백제고분로22길,residential,37.5014912,127.0879325,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000651,백제고분로22길,residential,37.50126115,127.0876618833333,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000652,백제고분로28길,residential,37.50088018,127.09006924,35.8,보통,0.0,65,70,40,25,"주거지역 도로, 좁은 도로"
SEG_000653,백제고분로28길,residential,37.5024556,127.09146965,35.8,보통,0.0,65,70,40,25,"주거지역 도로, 좁은 도로"
SEG_000654,백제고분로28길,residential,37.50209045,127.09130635,35.8,보통,0.0,65,70,40,25,"주거지역 도로, 좁은 도로"
SEG_000655,백제고분로22길,residential,37.50080206666667,127.0895348166667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000656,백제고분로28길,residential,37.50235442,127.0907253,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000657,백제고분로22길,residential,37.50292325,127.08977015,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000658,백제고분로22길,residential,37.50260575,127.088146,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000659,백제고분로31길,residential,37.5052107,127.0956647666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000660,백제고분로31길,residential,37.5048353,127.0956062666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000661,이름없음,residential,37.5018536125,127.0860043375,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000662,이름없음,residential,37.50114252857144,127.0861476714286,32.8,보통,0.0,65,70,20,25,"주거지역 도로, 좁은 도로"
SEG_000663,백제고분로31길,residential,37.5041097,127.0954636666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000664,백제고분로21길,residential,37.5045385,127.09056365,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000665,백제고분로31길,residential,37.50556890000001,127.0957406666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000666,백제고분로21길,residential,37.50657515,127.0917277,39.5,보통,0.0,65,70,65,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000667,삼전로12길,residential,37.50640555,127.090910375,39.5,보통,0.0,65,70,65,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000668,백제고분로21길,residential,37.5059059,127.09130345,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000669,삼전로8길,residential,37.505089425,127.08999085,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000670,삼학사로19길,residential,37.506220225,127.094316975,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000671,백제고분로23길,residential,37.50543464,127.09161557,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000672,백제고분로25길,residential,37.50543948,127.09212494,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000673,이름없음,secondary_link,37.5008899,127.08409534,32.2,보통,0.0,50,45,20,50,secondary_link
SEG_000674,백제고분로21길,residential,37.50598505454546,127.0908740636364,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000675,백제고분로21길,residential,37.5041668,127.0896707,37.2,보통,0.0,65,70,50,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000676,백제고분로27길,residential,37.50653084,127.09431042,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000677,분당수서로,trunk,37.50092047272727,127.0762192454546,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000678,분당수서로,trunk,37.4997225,127.0806808,34.5,보통,0.0,50,20,10,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000679,이름없음,secondary_link,37.5007151,127.08456516,32.2,보통,0.0,50,45,20,50,secondary_link
SEG_000680,이름없음,secondary_link,37.50136888571429,127.0838650714286,32.2,보통,0.0,50,45,20,50,secondary_link
SEG_000681,이름없음,secondary_link,37.50067304,127.08605558,32.2,보통,0.0,50,45,20,50,secondary_link
SEG_000682,삼학사로2길,tertiary,37.496469,127.0983344333333,29.0,쉬움,0.0,50,50,10,40,집산도로
SEG_000683,이름없음,secondary,37.50077853333333,127.0840578888889,31.8,보통,0.0,45,40,20,55,보조간선도로
SEG_000684,이름없음,secondary,37.50085465,127.0839899125,31.8,보통,0.0,45,40,20,55,보조간선도로
SEG_000685,삼전로,secondary,37.49944632857143,127.0795922857143,30.2,보통,0.0,45,40,10,55,보조간선도로
SEG_000686,삼학사로,tertiary,37.50824455555556,127.0974432444444,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000687,선릉로86길,residential,37.50359624545455,127.0517158545454,47.5,보통,71.1,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000688,선릉로86길,residential,37.50419715,127.05354865,38.3,보통,34.3,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000689,올림픽로,primary,37.512175175,127.095624875,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000690,이름없음,trunk_link,37.492049,127.095633,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000691,양재대로,primary,37.49113406666667,127.0902093666667,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000692,광평로,primary,37.4826037,127.0791469,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000693,이름없음,trunk_link,37.49646783333333,127.0898003333333,38.5,보통,0.0,65,25,20,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000694,양재대로,primary,37.49298505,127.10003755,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000695,이름없음,trunk_link,37.49786828181818,127.0865453545455,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000696,이름없음,primary_link,37.49375704000001,127.09714808,32.5,보통,0.0,55,35,0,65,"간선도로 연결로, 교통량 많음"
SEG_000697,이름없음,primary_link,37.49129741818182,127.0972769636364,37.0,보통,0.0,55,35,30,65,"간선도로 연결로, 교통량 많음"
SEG_000698,올림픽로,primary,37.5116846375,127.0895040375,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000699,양재대로,primary,37.49277876666667,127.0986226666667,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000700,밤고개로,primary,37.49154445,127.0979579,34.5,보통,0.0,40,30,30,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000701,이름없음,trunk_link,37.49922523333333,127.0827414333333,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000702,남부순환로,primary,37.49374137272727,127.0974855181818,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000703,이름없음,primary,37.4924054,127.09732,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000704,양재대로,primary,37.492621,127.0985413,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000705,이름없음,primary_link,37.4934176,127.09676894,32.5,보통,0.0,55,35,0,65,"간선도로 연결로, 교통량 많음"
SEG_000706,이름없음,trunk_link,37.49976196363636,127.0795534,37.0,보통,0.0,65,25,10,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000707,이름없음,trunk_link,37.4988366,127.08149785,37.0,보통,0.0,65,25,10,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000708,백제고분로,secondary,37.50257297,127.09884706,31.8,보통,0.0,45,40,20,55,보조간선도로
SEG_000709,양재대로,primary,37.4923449,127.0957522,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000710,이름없음,trunk_link,37.4924915,127.0959773,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000711,이름없음,primary_link,37.49077292857142,127.0988326571429,38.5,보통,0.0,55,35,40,65,"간선도로 연결로, 교통량 많음"
SEG_000712,이름없음,primary,37.49254185,127.0972429,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000713,밤고개로,primary,37.490074775,127.098858725,47.4,보통,39.6,40,30,50,70,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음"
SEG_000714,이름없음,trunk_link,37.49306163636364,127.0999473,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000715,이름없음,primary,37.49598825,127.0703580166667,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000716,이름없음,trunk_link,37.49256428571429,127.0992075142857,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000717,백제고분로,secondary,37.50270948181818,127.0990930636364,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000718,백제고분로,secondary,37.50265180909091,127.0949664636364,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000719,백제고분로,secondary,37.50497684545455,127.0858827454545,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000720,백제고분로,secondary,37.50661787142857,127.0802168,31.8,보통,0.0,45,40,20,55,보조간선도로
SEG_000721,남부순환로,primary,37.49185249090909,127.0982908454545,31.5,보통,0.0,40,30,10,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000722,남부순환로,primary,37.4927182,127.09951935,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000723,이름없음,primary_link,37.49336576363636,127.0974602181818,32.5,보통,0.0,55,35,0,65,"간선도로 연결로, 교통량 많음"
SEG_000724,이름없음,primary_link,37.4928385,127.0980492666667,32.5,보통,0.0,55,35,0,65,"간선도로 연결로, 교통량 많음"
SEG_000725,이름없음,primary_link,37.49325552000001,127.0959879,32.5,보통,0.0,55,35,0,65,"간선도로 연결로, 교통량 많음"
SEG_000726,남부순환로342번길,tertiary,37.48024505454546,127.0266978090909,31.2,보통,0.0,50,50,25,40,집산도로
SEG_000727,남부순환로342번길,tertiary,37.47514439,127.02898156,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000728,양재천로,tertiary,37.47319550909091,127.0333079363636,29.0,쉬움,0.0,50,50,10,40,집산도로
SEG_000729,양재천로,tertiary,37.47434220909091,127.0362093454546,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000730,양재천로,tertiary,37.47530958,127.03801276,27.5,쉬움,0.0,50,50,0,40,집산도로
SEG_000731,이름없음,secondary,37.4877765,127.056414825,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000732,효령로77길,residential,37.49068616363636,127.0291485909091,31.2,보통,0.0,65,70,10,25,"주거지역 도로, 좁은 도로"
SEG_000733,효령로77길,residential,37.49246225,127.0282862,44.8,보통,0.0,65,70,100,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000734,선릉로,secondary,37.48607198333333,127.0571819833333,28.8,쉬움,0.0,45,40,0,55,보조간선도로
SEG_000735,양재대로,primary,37.46987394,127.04909222,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000736,이름없음,primary,37.479877175,127.043866475,33.8,보통,0.0,40,30,25,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000737,양재대로,primary,37.4692455,127.047847225,30.0,쉬움,0.0,40,30,0,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000738,논현로,primary,37.49097143636364,127.0413317545454,52.5,보통,72.2,40,30,30,70,"주간선도로, 사고다발구간, 넓은 도로, 교통량 많음"
SEG_000739,논현로,primary,37.48730608888889,127.0413748333334,42.9,보통,39.5,40,30,20,70,"주간선도로, 넓은 도로, 교통량 많음"
SEG_000740,테헤란로63길,tertiary,37.50608151428571,127.050411,60.0,보통,100.0,50,50,50,40,"집산도로, 사고다발구간, 복잡한 교차로"
SEG_000741,언주로100길,service,37.50667863333334,127.0422390666666,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000742,테헤란로43길,residential,37.50367368,127.04406514,51.1,보통,61.3,65,70,40,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000743,삼성로91길,service,37.50694872857143,127.0549013571428,68.0,어려움,100.0,70,80,80,20,"서비스 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000744,테헤란로51길,service,37.50595643333333,127.0454438,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000745,삼성로95길,tertiary,37.50784603333333,127.05440675,48.3,보통,47.2,50,50,60,40,"집산도로, 복잡한 교차로"
SEG_000746,삼성로92길,residential,37.5079753,127.0578627,69.8,어려움,100.0,65,70,100,25,"주거지역 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000747,이름없음,service,37.50940965,127.04342815,51.1,보통,80.4,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000748,테헤란로53길,service,37.505553325,127.0464355,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000749,봉은사로48길,residential,37.50623986666667,127.0426640666667,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000750,언주로104길,residential,37.50744302222222,127.0418252888889,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000751,선릉로93길,residential,37.504870175,127.0464610125,57.8,보통,100.0,65,70,20,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000752,봉은사로44길,residential,37.5087971,127.0402727,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000753,테헤란로51길,residential,37.50536692727273,127.0453333636364,48.5,보통,74.8,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000754,테헤란로51길,residential,37.504129,127.04716095,60.8,어려움,100.0,65,70,40,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000755,테헤란로43길,residential,37.505018475,127.04408065,38.5,보통,35.2,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000756,언주로98길,service,37.5050745,127.04517955,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000757,테헤란로47길,residential,37.5041746,127.0453432666667,57.8,보통,100.0,65,70,20,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000758,이름없음,service,37.50484726666667,127.042561,39.8,보통,35.2,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000759,봉은사로50길,residential,37.50859965,127.04343995,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000760,테헤란로53길,residential,37.50663185454545,127.0449553,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000761,테헤란로53길,residential,37.5053005,127.04713415,56.2,보통,100.0,65,70,10,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000762,선릉로108길,residential,37.51037138,127.04744456,41.1,보통,45.3,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000763,봉은사로54길,service,37.50956196666667,127.0435652,51.1,보통,80.4,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000764,언주로98길,service,37.5052169,127.04453445,40.1,보통,36.4,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000765,선릉로107길,service,37.50867386666667,127.0441055,39.8,보통,35.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000766,언주로104길,service,37.50763715,127.0413061,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000767,선릉로107길,service,37.50866775,127.0424259,39.8,보통,35.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000768,선릉로103길,service,37.50708166666666,127.0459856666667,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000769,언주로98길,service,37.5051506,127.044862,40.1,보통,36.4,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000770,언주로98길,service,37.5053289,127.04239615,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000771,언주로97길,residential,37.50533275,127.0410107,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000772,테헤란로55길,residential,37.5061533,127.04640904,48.5,보통,74.8,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000773,언주로106길,residential,37.50815054285714,127.0418491142857,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000774,이름없음,service,37.50623485,127.04766045,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000775,봉은사로44길,residential,37.50666731428571,127.0413923,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000776,테헤란로53길,residential,37.506632075,127.0438286,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000777,언주로108길,service,37.50889395,127.04061175,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000778,봉은사로48길,residential,37.50703231428572,127.0429701,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000779,언주로98길,service,37.50520415,127.0430906,39.8,보통,35.2,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000780,테헤란로57길,service,37.505942025,127.047445175,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000781,언주로104길,residential,37.50802986666667,127.0432416,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000782,언주로100길,service,37.5063467,127.04236815,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000783,봉은사로44길,residential,37.50542105,127.0433004,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000784,언주로104길,service,37.5072405,127.0421277,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000785,테헤란로51길,service,37.50644325,127.04414345,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000786,선릉로107길,residential,37.5090065,127.0430167555556,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000787,이름없음,service,37.506588,127.0457317333333,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000788,이름없음,service,37.50786975,127.04277015,39.8,보통,35.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000789,언주로98길,service,37.50526275,127.04276635,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000790,언주로108길,service,37.5090685,127.0412166,39.8,보통,35.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000791,테헤란로47길,service,37.50495836666667,127.0454434333333,49.7,보통,74.8,70,80,0,20,"서비스 도로, 사고다발구간, 좁은 도로"
SEG_000792,선릉로99길,residential,37.50638918,127.04679762,48.5,보통,74.8,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000793,봉은사로48길,residential,37.5061414,127.0431588,29.8,쉬움,0.0,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000794,봉은사로48길,service,37.50699273333333,127.0423228666667,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000795,봉은사로48길,service,37.50703763333333,127.0433879666667,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000796,봉은사로50길,residential,37.5094632,127.04257305,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000797,언주로98길,service,37.5050877,127.0437537,39.8,보통,35.2,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000798,언주로94길,residential,37.50430496666667,127.0427644666667,38.5,보통,35.2,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000799,테헤란로69길,tertiary,37.50641531428572,127.0526030428571,36.5,보통,0.0,50,50,60,40,"집산도로, 복잡한 교차로"
SEG_000800,봉은사로48길,residential,37.50814266666666,127.0418652333333,38.5,보통,35.1,65,70,0,25,"주거지역 도로, 좁은 도로"
SEG_000801,이름없음,service,37.507774,127.0424323,39.8,보통,35.1,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000802,선릉로85길,residential,37.5028268,127.04929815,54.8,보통,100.0,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000803,테헤란로52길,residential,37.5032207,127.0478316166667,57.8,보통,100.0,65,70,20,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000804,이름없음,service,37.51942274545454,127.1005442090909,32.5,보통,0.0,70,80,10,20,"서비스 도로, 좁은 도로"
SEG_000805,이름없음,service,37.52006947777777,127.1000504444444,35.5,보통,0.0,70,80,30,20,"서비스 도로, 좁은 도로"
SEG_000806,선릉로92길,service,37.505858725,127.050888675,63.5,어려움,100.0,70,80,50,20,"서비스 도로, 사고다발구간, 좁은 도로, 복잡한 교차로"
SEG_000807,선릉로96길,service,37.506343825,127.049402725,43.6,보통,38.4,70,80,20,20,"서비스 도로, 좁은 도로"
SEG_000808,올림픽대로,trunk,37.517097525,127.077865225,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000809,올림픽대로,trunk,37.51796545454545,127.0748134272727,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000810,올림픽대로,trunk,37.51839814,127.07145729,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000811,올림픽대로,trunk,37.51673446363636,127.0828979272727,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000812,올림픽대로,trunk,37.51735591666667,127.0896250833333,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000813,이름없음,trunk_link,37.51688648333333,127.07687365,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000814,올림픽대로,trunk,37.5173911,127.07790745,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000815,이름없음,trunk_link,37.51637738333334,127.0774543333333,35.5,보통,0.0,65,25,0,75,"고속도로 연결로, 넓은 도로, 교통량 많음"
SEG_000816,올림픽대로,trunk,37.522517275,127.100242625,33.0,보통,0.0,50,20,0,80,"도시고속도로, 넓은 도로, 교통량 많음"
SEG_000817,봉은사로58길,residential,37.51039895,127.04584295,49.9,보통,80.4,65,70,0,25,"주거지역 도로, 사고다발구간, 좁은 도로"
SEG_000818,봉은사로74길,residential,37.51192608,127.05233652,33.5,보통,0.0,65,70,25,25,"주거지역 도로, 좁은 도로"
SEG_000819,봉은사로68길,service,37.5098522,127.0520951,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000820,이름없음,service,37.5092453,127.0524843,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000821,삼성로103길,service,37.50988445,127.05361605,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
SEG_000822,테헤란로79길,residential,37.50873966666666,127.0546693,50.5,보통,47.2,65,70,60,25,"주거지역 도로, 좁은 도로, 복잡한 교차로"
SEG_000823,삼성로103길,service,37.50975976666667,127.0531471666667,31.0,보통,0.0,70,80,0,20,"서비스 도로, 좁은 도로"
