"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"2160","노량진로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.676"
"2161","노량진로6가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2162","노량진로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2163","노량진로6나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2164","노량진로6다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2165","노량진로6라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2166","노량진로6마길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2167","노량진로8가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2168","노량진로8길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.681"
"2169","노량진로8나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2170","노량진로8다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.681"
"2171","노원로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.686"
"2172","노원로11길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.686"
"2173","노원로14길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.686"
"2174","노원로15길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.686"
"2175","노원로16길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.686"
"2176","노원로17길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.686"
"2177","노원로18길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.686"
"2178","노원로19길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.686"
"2179","노원로1가길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.686"
"2180","노원로1길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.686"
"2181","노원로1나길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.691"
"2182","노원로1다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.691"
"2183","노원로1라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.691"
"2184","노원로1마길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.691"
"2185","노원로1바길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.691"
"2186","노원로20길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.691"
"2187","노원로22길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.691"
"2188","노원로24길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.691"
"2189","노원로26가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.691"
"2190","노원로26길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.691"
"2191","노원로26나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.696"
"2192","노원로28길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.696"
"2193","노원로30길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.696"
"2194","노원로32길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.696"
"2195","노원로34길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.696"
"2196","노원로38길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.696"
"2197","노원역~당고개역선","일반도로","보조간선도로","대로2류","폭30-35m","2026-01-22 11:18:02.696"
"2198","노유~중곡선","일반도로","보조간선도로","대로2류","폭30-35m","2026-01-22 11:18:02.696"
"2199","노해로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.696"
"2200","노해로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.696"
"2201","노해로13길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2202","노해로14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2203","노해로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2204","노해로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2205","노해로19길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2206","노해로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2207","노해로22길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.701"
"2208","노해로23길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.701"
"2209","노해로25길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2210","노해로26가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.701"
"2211","노해로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2212","노해로27길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2213","노해로29길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2214","노해로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2215","노해로33가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2216","노해로33길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2217","노해로33나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2218","노해로33다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2219","노해로35가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2220","노해로35길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.706"
"2221","노해로36길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2222","노해로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2223","노해로38길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2224","노해로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2225","노해로40길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.711"
"2226","노해로41가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2227","노해로41길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2228","노해로41나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2229","노해로42길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2230","노해로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.711"
"2231","노해로45길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2232","노해로46길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2233","노해로48길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2234","노해로49길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2235","노해로51길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2236","노해로53길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.716"
"2237","노해로54길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2238","노해로55길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.716"
"2239","노해로57길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2240","노해로59길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.716"
"2241","노해로60가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.721"
"2242","노해로60길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.721"
"2243","노해로61길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.721"
"2244","노해로62길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.721"
"2245","노해로63가길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.721"
"2246","노해로63길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.721"
"2247","노해로63나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.721"
"2248","노해로63다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.721"
"2249","노해로65길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.721"
"2250","노해로66길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.721"
"2251","노해로67길","일반도로","국지도로","확인","불가","2026-01-22 11:18:02.726"
"2252","노해로69가길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.726"
"2253","노해로69길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.726"
"2254","노해로70길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.726"
"2255","노해로75길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.726"
"2256","노해로77길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.726"
"2257","노해로79길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.726"
"2258","노해로7가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.726"
"2259","노해로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.726"
"2260","노해로81길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.726"
"2261","노해로83길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.731"
"2262","노해로85길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.731"
"2263","노해로8가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2264","노해로8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2265","노해로9가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2266","노해로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2267","노해로9나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2268","녹번로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2269","녹번로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2270","녹번로3가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.731"
"2271","녹번로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2272","녹번로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2273","녹번로6가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2274","녹번로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2275","녹번로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2276","녹번로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2277","녹사평대로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.736"
"2278","녹사평대로11가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2279","녹사평대로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2280","녹사평대로14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.736"
"2281","녹사평대로26가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2282","녹사평대로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2283","녹사평대로26나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2284","녹사평대로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2285","녹사평대로40가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2286","녹사평대로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2287","녹사평대로40나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2288","녹사평대로40다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2289","녹사평대로42길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2290","녹사평대로46가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.741"
"2291","녹사평대로46길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2292","녹사평대로52길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2293","녹사평대로54길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2294","녹사평대로58길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2295","녹사평대로60길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.746"
"2296","논현로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2297","논현로101길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2298","논현로102길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2299","논현로104길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.746"
"2300","논현로105길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.746"
"2301","논현로106길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2302","논현로10길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.752"
"2303","논현로111길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2304","논현로113길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.752"
"2305","논현로114길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2306","논현로115길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2307","논현로116길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2308","논현로117길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2309","논현로118길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2310","논현로119길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.752"
"2311","논현로11길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.757"
"2312","논현로120길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2313","논현로121길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2314","논현로122길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2315","논현로123길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2316","논현로124길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2317","논현로126길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.757"
"2318","논현로127길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.757"
"2319","논현로128길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.757"
"2320","논현로12길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.757"
"2321","논현로131길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2322","논현로132길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.762"
"2323","논현로133길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2324","논현로134길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2325","논현로135길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2326","논현로136길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2327","논현로138길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2328","논현로139길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2329","논현로13길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.762"
"2330","논현로140길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.762"
"2331","논현로142길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2332","논현로145길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2333","논현로146길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2334","논현로149길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2335","논현로14길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.767"
"2336","논현로150길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.767"
"2337","논현로151길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.767"
"2338","논현로152길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.767"
"2339","논현로153길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2340","논현로154길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.767"
"2341","논현로155길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2342","논현로157길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2343","논현로158길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2344","논현로159길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2345","논현로160길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2346","논현로161길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.772"
"2347","논현로163길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.772"
"2348","논현로164길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.772"
"2349","논현로167길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.772"
"2350","논현로168길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.772"
"2351","논현로16길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.777"
"2352","논현로171길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.777"
"2353","논현로172길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.777"
"2354","논현로175길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.777"
"2355","논현로176길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.777"
"2356","논현로17길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.777"
"2357","논현로189길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.777"
"2358","논현로18길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.777"
"2359","논현로190길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.777"
"2360","논현로19길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:02.777"
"2361","논현로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.782"
"2362","논현로20길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.782"
"2363","논현로22길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.782"
"2364","논현로24길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.782"
"2365","논현로26길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.782"
"2366","논현로27길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.782"
"2367","논현로28길","일반도로","국지도로","대로3류","폭25-30m","2026-01-22 11:18:02.782"
"2368","논현로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.782"
"2369","논현로30길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.782"
"2370","논현로31길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.782"
"2371","논현로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.786"
"2372","논현로34길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.786"
"2373","논현로36길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.786"
"2374","논현로38길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.786"
"2375","논현로41길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.786"
"2376","논현로47길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.786"
"2377","논현로4길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.786"
"2378","논현로51길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.786"
"2379","논현로57길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.786"
"2380","논현로58길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.786"
"2381","논현로5길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.791"
"2382","논현로61길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2383","논현로63길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.791"
"2384","논현로64길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.791"
"2385","논현로65길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2386","논현로66길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2387","논현로67길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2388","논현로68길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2389","논현로6길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.791"
"2390","논현로70길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.791"
"2391","논현로71길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.796"
"2392","논현로72길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.796"
"2393","논현로74길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.796"
"2394","논현로75길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.796"
"2395","논현로76길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.797"
"2396","논현로77길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.797"
"2397","논현로79길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.797"
"2398","논현로7길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.797"
"2399","논현로80길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.797"
"2400","논현로81길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.797"
"2401","논현로85길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.802"
"2402","논현로86길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.802"
"2403","논현로87길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.802"
"2404","논현로8길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.802"
"2405","논현로93길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:02.802"
"2406","논현로94길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.802"
"2407","논현로95길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.802"
"2408","논현로97길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.802"
"2409","논현로98길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.802"
"2410","논현로99길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.802"
"2411","농수산시장로","일반도로","국지도로","확인","불가","2026-01-22 11:18:02.806"
"2412","누원2길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.806"
"2413","누원로","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.806"
"2414","능동로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2415","능동로10길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:02.806"
"2416","능동로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2417","능동로13길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2418","능동로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2419","능동로16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2420","능동로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.806"
"2421","능동로19길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2422","능동로1길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.811"
"2423","능동로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2424","능동로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2425","능동로24길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2426","능동로25길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2427","능동로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2428","능동로27가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2429","능동로27길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2430","능동로27나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.811"
"2431","능동로28길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2432","능동로29가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2433","능동로29길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2434","능동로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2435","능동로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2436","능동로32길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2437","능동로34길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2438","능동로35길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2439","능동로36길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.816"
"2440","능동로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.817"
"2441","능동로38길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2442","능동로39길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2443","능동로3가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:02.822"
"2444","능동로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2445","능동로3나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2446","능동로3다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2447","능동로3라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2448","능동로3마길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2449","능동로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2450","능동로41길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.822"
"2451","능동로42길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2452","능동로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2453","능동로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2454","능동로46길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2455","능동로47길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2456","능동로48가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2457","능동로48길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2458","능동로49길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2459","능동로4길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:02.826"
"2460","능동로50길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.826"
"2461","능동로51길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.831"
"2462","능동로53길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.831"
"2463","능동로55길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:02.831"
